"","Sample#","Population code","Location","Host","Country","lon","lat","geoAddress"
"1","S001","P1","Arlington, South Africa","Soybean","South Africa",27.8516564,-28.024692,"arlington, 9602, south africa"
"2","S031","P2","Arlington, South Africa","Sunflower","South Africa",27.8516564,-28.024692,"arlington, 9602, south africa"
"3","S041","P3","Bethlehem, South Africa","Soybean","South Africa",28.3111262,-28.2423025,"bethlehem, south africa"
"4","S079","P5","Bethlehem, South Africa","Sunflower","South Africa",28.3111262,-28.2423025,"bethlehem, south africa"
"5","S089","P6","Bethlehem, South Africa","Dry beans","South Africa",28.3111262,-28.2423025,"bethlehem, south africa"
"6","S099","P7","Bloemfontein, South Africa","Green Beans","South Africa",26.1595761,-29.085214,"bloemfontein, south africa"
"7","S124","P8","Bloemfontein, South Africa","Sunflower","South Africa",26.1595761,-29.085214,"bloemfontein, south africa"
"8","S155","P9","Bloemfontein, South Africa","Soybean","South Africa",26.1595761,-29.085214,"bloemfontein, south africa"
"9","S185","P10","Clarens, South Africa","Soybean","South Africa",28.4104684,-28.5143573,"clarens, south africa"
"10","S194","P11","Clocolan, South Africa","Cabbage","South Africa",27.5554547,-28.9093365,"clocolan, 9735, south africa"
"11","S209","P12","Clocolan, South Africa","Soybean","South Africa",27.5554547,-28.9093365,"clocolan, 9735, south africa"
"12","S234","P13","Clocolan, South Africa","Sunflower","South Africa",27.5554547,-28.9093365,"clocolan, 9735, south africa"
"13","S353","P17","Delmas, South Africa","Soybean","South Africa",28.6786903,-26.1403469,"delmas, south africa"
"14","S375","P18","Greytown, South Africa","Sunflower","South Africa",30.6084832,-29.0548624,"greytown, south africa"
"15","S405","P19","Harrismith, South Africa","Soybean","South Africa",29.1041691,-28.2749996,"harrismith, south africa"
"16","S434","P20","Kaalfontein, South Africa","Squash","South Africa",28.1737044,-25.9897692,"kaalfontein, midrand, 1632, south africa"
"17","S439","P21","Kaalfontein, South Africa","Tunnel Squash","South Africa",28.1737044,-25.9897692,"kaalfontein, midrand, 1632, south africa"
"18","S444","P22","Luckhoff, South Africa","Soybean","South Africa",24.7973983,-29.7418892,"luckhof, south africa"
"19","S471","P23","Mossel Bay, South Africa","Canola","South Africa",22.0834066,-34.1747356,"mossel bay, south africa"
"20","S500","P24","Orania, South Africa","Soybean","South Africa",24.3995073,-29.8149831,"orania, south africa"
"21","S519","P25","Rosendal, South Africa","Sunflower","South Africa",27.9307584,-28.5042585,"rosendal, 9720, south africa"
"22","S547","P26","Tweelinspruit, South Africa","Sunflower","South Africa",27.0293878,-29.1883217,"tweespruit, 9770, south africa"
"23","S555","P27","Underberg, South Africa","Soybean","South Africa",29.4918178,-29.7928766,"underberg, south africa"
"24","S585","P28","Limpopo, South Africa","Hubbard Squash","South Africa",29.4179324,-23.4012946,"limpopo, south africa"
"25","S588","P29","Limpopo, South Africa","Butternut","South Africa",29.4179324,-23.4012946,"limpopo, south africa"
"26","S591","P30","Marquard, South Africa","Sunflower","South Africa",27.4380189,-28.6880903,"marquard, 9610, south africa"
"27","S601","P31","Valsrivier, South Africa","Sunflower","South Africa",27.0799592,-27.5473699,"valsrivier, south africa"
"28","S611","P32","Bothaville, South Africa","Sunflower","South Africa",26.6199587,-27.374025,"bothaville, 9660, south africa"
"29","S631","P33","Cape Town, South Africa","Canola","South Africa",18.4240553,-33.9248685,"cape town, south africa"
