"","number","lat","lon"
"1",1,-30.801445,18.301104
"2",2,-32.926319,18.114818
"3",3,-33.96967,18.613669
"4",4,-33.258117,19.402611
"5",5,-34.586621,19.571731
"6",6,-34.306991,20.450414
"7",7,-33.892735,24.968001
"8",8,-31.536998,27.626301
"9",9,-31.690647,21.309917
"10",10,-29.115277,22.282485
"11",11,-27.883039,24.171748
"12",12,-26.462657,24.23996
"13",13,-26.535118,25.812161
"14",14,-26.731226,25.259703
"15",15,-28.157629,25.134743
"16",16,-27.161538,26.019543
"17",17,-26.810186,26.005514
"18",18,-26.275,26.791944
"19",19,-26.107209,26.171766
"20",20,-25.050112,26.594401
"21",21,-26.975312,26.758018
"22",22,-27.379547,26.628118
"23",23,-28.275452,26.148479
"24",24,-29.117107,25.386368
"25",25,-29.736595,26.907759
"26",26,-28.273163,27.943717
"27",27,-27.108879,27.82248
"28",28,-28.556012,28.831953
"29",29,-26.828242,28.577647
"30",30,-26.416331,29.855256
"31",31,-26.481721,28.81952
"32",32,-26.156212,28.662487
"33",33,-25.015571,30.424432
"34",34,-26.19771,28.044302
"35",35,-23.841364,29.545806
"36",36,-29.354813,30.583921
