"","crop","harvest_year","total","prev"
"1","Soybean","2013",19,36.8421052631579
"2","Soybean","2014",25,56
"3","Soybean","2015",24,33.3333333333333
"4","Soybean","2016",22,68.1818181818182
"5","Soybean","2017",20,70
"6","Soybean","2018",19,63.1578947368421
"7","Soybean","2019",18,61.1111111111111
"8","Soybean","2020",23,78.2608695652174
"9","Soybean","2012",20,45
"10","Sunflower","2013",22,9.09090909090909
"11","Sunflower","2014",21,80.9523809523809
"12","Sunflower","2015",23,26.0869565217391
"13","Sunflower","2016",18,33.3333333333333
"14","Sunflower","2017",19,47.3684210526316
"15","Sunflower","2018",19,89.4736842105263
"16","Sunflower","2019",21,80.9523809523809
"17","Sunflower","2020",20,95
